Crop,Actual Rainfall (mm),Predicted Rainfall (mm),Difference (mm)
coconut,172.48,173.6,-1.12
papaya,120.95,140.22,-19.27
watermelon,57.96,50.63,7.32
mothbeans,62.75,50.6,12.15
papaya,240.69,87.44,153.25
chickpea,93.55,80.19,13.36
pomegranate,108.68,105.46,3.22
chickpea,81.79,72.5,9.29
papaya,48.84,105.7,-56.86
lentil,53.15,44.28,8.87
apple,116.69,111.53,5.16
pomegranate,104.9,107.27,-2.37
chickpea,71.31,80.58,-9.27
mango,97.45,96.88,0.57
chickpea,81.71,83.34,-1.63
pomegranate,112.48,107.53,4.95
watermelon,46.77,53.25,-6.48
kidneybeans,103.29,97.93,5.36
mungbean,50.5,53.65,-3.15
muskmelon,22.52,25.87,-3.34
watermelon,58.98,53.5,5.48
kidneybeans,144.79,131.34,13.45
muskmelon,25.09,25.7,-0.6
mango,89.98,95.39,-5.41
rice,185.28,231.02,-45.74
blackgram,62.26,68.69,-6.43
chickpea,73.09,78.02,-4.93
banana,96.45,100.32,-3.87
blackgram,64.33,70.3,-5.98
pigeonpeas,175.93,166.92,9.01
papaya,104.42,161.31,-56.89
pigeonpeas,93.12,149.82,-56.69
mungbean,48.55,52.27,-3.72
coconut,171.63,167.2,4.42
cotton,65.02,79.58,-14.55
grapes,66.54,71.3,-4.76
apple,121.5,114.17,7.32
lentil,37.46,46.93,-9.47
banana,110.25,111.66,-1.41
jute,184.46,187.03,-2.57
apple,122.74,106.76,15.98
pomegranate,110.24,105.0,5.24
apple,123.6,117.7,5.9
mungbean,50.92,53.26,-2.34
muskmelon,25.16,24.84,0.32
coffee,161.89,155.97,5.92
coffee,192.43,171.69,20.74
pigeonpeas,147.04,144.57,2.47
jute,150.32,160.29,-9.98
kidneybeans,116.52,119.96,-3.44
banana,114.54,105.68,8.85
maize,102.09,82.99,19.1
jute,159.92,177.43,-17.51
maize,88.08,80.89,7.18
pigeonpeas,157.09,159.12,-2.03
mango,91.78,91.03,0.74
kidneybeans,115.2,97.25,17.95
pomegranate,104.44,107.62,-3.18
watermelon,50.56,50.03,0.53
blackgram,73.38,65.3,8.07
maize,63.72,90.45,-26.72
rice,280.4,243.46,36.95
mothbeans,33.84,59.16,-25.32
kidneybeans,143.86,104.54,39.32
mango,98.57,93.5,5.07
cotton,88.57,79.49,9.08
papaya,218.09,171.9,46.19
mothbeans,36.99,47.59,-10.6
cotton,89.8,80.71,9.09
mungbean,43.12,49.46,-6.34
orange,101.15,109.26,-8.12
jute,199.84,161.86,37.97
blackgram,65.82,72.09,-6.27
mungbean,45.04,49.79,-4.74
coffee,171.38,173.86,-2.49
banana,92.0,101.23,-9.23
pigeonpeas,180.38,159.71,20.67
papaya,234.85,182.36,52.49
apple,105.55,116.15,-10.6
pomegranate,106.92,108.95,-2.03
maize,67.1,83.84,-16.74
mango,98.01,96.18,1.83
coconut,181.69,183.2,-1.51
apple,102.72,117.58,-14.86
lentil,39.18,47.91,-8.73
jute,177.22,172.97,4.25
mothbeans,50.2,48.93,1.27
lentil,48.8,44.11,4.69
coconut,144.16,192.05,-47.89
blackgram,61.84,68.27,-6.44
jute,180.25,163.96,16.29
mungbean,36.95,51.05,-14.1
cotton,80.36,83.81,-3.45
watermelon,42.11,49.94,-7.83
apple,117.08,113.11,3.97
grapes,66.93,70.94,-4.01
coconut,189.67,174.37,15.3
grapes,67.13,66.65,0.47
watermelon,56.45,46.04,10.41
rice,202.38,218.74,-16.36
mango,93.0,92.4,0.6
mango,97.01,98.07,-1.05
coffee,147.8,180.6,-32.8
pomegranate,104.37,107.44,-3.07
banana,109.02,104.85,4.18
grapes,70.32,69.58,0.74
jute,185.26,185.45,-0.19
orange,109.75,105.73,4.02
cotton,66.19,82.85,-16.65
mango,93.75,94.17,-0.42
papaya,105.88,102.82,3.07
muskmelon,20.21,26.65,-6.44
mothbeans,44.12,47.56,-3.44
jute,175.57,170.7,4.87
chickpea,92.68,75.68,17.01
mothbeans,46.19,42.72,3.48
pomegranate,107.64,107.76,-0.12
watermelon,44.21,47.3,-3.1
mothbeans,64.16,44.3,19.86
cotton,84.13,80.49,3.63
papaya,197.53,124.46,73.06
watermelon,57.04,50.29,6.75
mothbeans,35.37,40.7,-5.33
rice,233.11,275.55,-42.44
coconut,205.57,158.65,46.92
mothbeans,43.88,44.51,-0.63
mothbeans,32.71,54.36,-21.65
maize,65.51,89.83,-24.32
rice,253.72,213.14,40.58
maize,97.59,89.57,8.02
coconut,224.4,193.18,31.22
orange,112.51,107.57,4.94
pomegranate,111.38,109.95,1.43
kidneybeans,132.98,92.2,40.78
watermelon,59.46,55.2,4.26
mungbean,51.53,48.17,3.35
blackgram,71.16,68.28,2.88
rice,277.96,229.66,48.3
rice,260.89,230.01,30.88
cotton,72.5,88.39,-15.89
cotton,67.08,78.94,-11.86
pigeonpeas,155.37,154.82,0.56
